# 1-D oscillator chain:  omega_k = sqrt(1 + 4 sin^2(pi k / L))
# L = 2 ell + 1  (odd),  periodic boundary
#
# Resonance conditions  (zeta = (k, sigma),  sigma = +/-1):
#   k + k1 + k2 + k3  = 0   (mod L)       [momentum]
#   sigma*w_k + s1*w_{k1} + s2*w_{k2} + s3*w_{k3} = 0  [frequency]
#
# Only 2-positive / 2-negative sign configs can satisfy the
# frequency condition (since w_k >= 1).
#
# Total   = sum_zeta |R_zeta|
# Trivial = subset where {w_pos} = {w_neg} as multisets
#           (no net energy transfer in the kinetic equation)
#
     L          Total        Trivial    Non-trivial
   879          14430          10542           3888
   881          14118          10566           3552
   883          14574          10590           3984
   885          15030          10614           4416
   887          14862          10638           4224
   889          14694          10662           4032
   891          14862          10686           4176
   893          15222          10710           4512
   895          15006          10734           4272
   897          15270          10758           4512
   899          15054          10782           4272
   901          15222          10806           4416
   903          15102          10830           4272
   905          15054          10854           4200
   907          15294          10878           4416
   909          15318          10902           4416
   911          15198          10926           4272
   913          15126          10950           4176
   915          15390          10974           4416
   917          15558          10998           4560
   919          15150          11022           4128
   921          15366          11046           4320
   923          15486          11070           4416
   925          15654          11094           4560
   927          15486          11118           4368
   929          15366          11142           4224
   931          15534          11166           4368
   933          15798          11190           4608
   935          15534          11214           4320
   937          15606          11238           4368
   939          15726          11262           4464
   941          15894          11286           4608
   943          15726          11310           4416
   945          15846          11334           4512
   947          15774          11358           4416
   949          15942          11382           4560
   951          15822          11406           4416
   953          15990          11430           4560
   955          16062          11454           4608
   957          16230          11478           4752
