     L  Total_Resonances      None_Trivial           Trivial     Density
   683           5593770              8190           5585580  0.00292611
   685           5626590              8214           5618376  0.00291758
   687           5659506              8238           5651268  0.00290909
   689           5692518              8262           5684256  0.00290065
   691           5725626              8286           5717340  0.00289226
   693           5758830              8310           5750520  0.00288392
   695           5792130              8334           5783796  0.00287563
   697           5825526              8358           5817168  0.00286738
   699           5859018              8382           5850636  0.00285918
   701           5892606              8406           5884200  0.00285103
   703           5926290              8430           5917860  0.00284293
   705           5960166              8454           5951712  0.00283491
   707           5993946              8478           5985468  0.00282685
   709           6028014              8502           6019512  0.00281893
   711           6061986              8526           6053460  0.00281096
   713           6096150              8550           6087600  0.00280308
   715           6130410              8574           6121836  0.00279525
   717           6164766              8598           6156168  0.00278746
   719           6199314              8622           6190692  0.00277975
   721           6233766              8646           6225120  0.00277200
   723           6268410              8670           6259740  0.00276434
   725           6303150              8694           6294456  0.00275672
   727           6337986              8718           6329268  0.00274914
   729           6372918              8742           6364176  0.00274160
   731           6407946              8766           6399180  0.00273411
   733           6443166              8790           6434376  0.00272669
   735           6478290              8814           6469476  0.00271924
   737           6513606              8838           6504768  0.00271186
   739           6549018              8862           6540156  0.00270453
   741           6584526              8886           6575640  0.00269723
   743           6620226              8910           6611316  0.00269002
   745           6655830              8934           6646896  0.00268276
   747           6691626              8958           6682668  0.00267558
   749           6727518              8982           6718536  0.00266844
   751           6763506              9006           6754500  0.00266134
   753           6799590              9030           6790560  0.00265428
   755           6835770              9054           6826716  0.00264725
   757           6872046              9078           6862968  0.00264026
   759           6908418              9102           6899316  0.00263331
   761           6944886              9126           6935760  0.00262639
   763           6981450              9150           6972300  0.00261951
   765           7018110              9174           7008936  0.00261267
   767           7054866              9198           7045668  0.00260586
   769           7091718              9222           7082496  0.00259909
   771           7128666              9246           7119420  0.00259235
   773           7165710              9270           7156440  0.00258565
   775           7202850              9294           7193556  0.00257898
   777           7240086              9318           7230768  0.00257235
   779           7277418              9342           7268076  0.00256575
   781           7314846              9366           7305480  0.00255918
   783           7352370              9390           7342980  0.00255265
   785           7389990              9414           7380576  0.00254615
